883.792,601.096
921.151,599.455
958.879,597.801
996.979,596.136
1035.45,594.458
1074.31,592.769
1113.55,591.068
1153.18,589.355
1193.19,587.63
1233.61,585.893
884.947,647.079
922.347,645.64
960.116,644.191
998.257,642.732
1036.78,641.262
1075.67,639.781
1114.96,638.29
1154.63,636.788
1194.69,635.276
1235.16,633.753
886.11,693.078
923.549,691.844
961.359,690.6
999.542,689.347
1038.1,688.085
1077.04,686.814
1116.37,685.533
1156.09,684.243
1196.2,682.944
1236.7,681.635
887.281,739.093
924.76,738.063
962.608,737.025
1000.83,735.979
1039.43,734.925
1078.42,733.864
1117.79,732.794
1157.55,731.717
1197.7,730.631
1238.25,729.537
888.461,785.118
925.977,784.293
963.865,783.462
1002.13,782.624
1040.77,781.779
1079.79,780.928
1119.21,780.07
1159.01,779.205
1199.2,778.334
1239.8,777.456
889.648,831.153
927.202,830.533
965.128,829.908
1003.43,829.278
1042.11,828.643
1081.18,828.003
1120.63,827.357
1160.47,826.706
1200.71,826.049
1241.35,825.387
890.843,877.192
928.434,876.779
966.397,876.361
1004.74,875.94
1043.46,875.515
1082.56,875.085
1122.05,874.652
1161.94,874.215
1202.22,873.773
1242.9,873.328
892.046,923.234
929.673,923.027
967.672,922.817
1006.05,922.605
1044.81,922.39
1083.95,922.172
1123.48,921.952
1163.41,921.729
1203.73,921.503
1244.45,921.275
893.257,969.276
930.919,969.275
968.954,969.273
1007.37,969.27
1046.16,969.266
1085.34,969.26
1124.91,969.253
1164.88,969.245
1205.24,969.236
1246,969.224
894.475,1015.31
932.171,1015.52
970.242,1015.73
1008.69,1015.93
1047.52,1016.14
1086.74,1016.35
1126.35,1016.55
1166.35,1016.76
1206.75,1016.97
1247.55,1017.17
